Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Baylor,Big 12,8-Apr,5.6 (1.6),56.10%,4,53,32.3,33,27.4,74,-0.9,90,0.82,2,2008
Arizona State,Pac-10,7-May,5.5 (0.5),54.30%,3.4,54,22.3,85,19.8,39,0.8,33,0.873,20,2008
Southern Miss,C-USA,6-Jul,7.3 (0.3),53.40%,3.1,55,31,36,27,72,-1,91,0.967,103,2008
Minnesota,Big Ten,6-Jul,6.0 (-1.0),53.30%,3,56,26.8,58,25,60,1.2,25,0.917,47,2008
Rutgers,Big East,4-Sep,8.0 (-1.0),51.80%,2.4,57,28.8,50,25.2,61,-1.1,99,0.963,93,2008
Purdue,Big Ten,8-Apr,4.2 (0.2),51.70%,2.4,58,24.6,69,20.6,44,-1.6,106,0.88,24,2008
Bowling Green,MAC,6-Jun,6.7 (0.7),51.60%,2.4,59,29.2,45,25.7,67,-1,96,0.969,107,2008
Stanford,Pac-10,7-May,4.7 (-0.3),51.00%,2.2,60,30.2,38,29.5,76,1.5,18,0.87,16,2008
NC State,ACC,7-Jun,5.1 (-0.9),49.90%,1.8,61,27.4,55,26.8,71,1.2,26,0.931,56,2008
Michigan,Big Ten,9-Mar,4.1 (1.1),49.40%,1.6,62,20.5,90,19.2,32,0.2,50,0.895,35,2008
Auburn,SEC,8-Apr,4.9 (0.9),48.90%,1.4,63,19.7,94,17.4,18,-0.8,86,0.905,43,2008
East Carolina,C-USA,5-Sep,8.5 (-0.5),48.70%,1.3,64,21.9,86,20.2,41,-0.3,67,0.971,111,2008
Nevada,WAC,6-Jul,8.6 (1.6),47.60%,0.9,65,34,24,33,92,0,59,0.934,60,2008
UCLA,Pac-10,8-Apr,4.6 (0.6),44.80%,-0.1,66,18.7,101,19.6,37,0.8,32,0.873,18,2008
Virginia,ACC,7-May,4.5 (-0.5),43.60%,-0.6,67,19,99,18.6,28,-1,94,0.9,39,2008
Air Force,MWC,5-Aug,6.5 (-1.5),43.10%,-0.7,68,23,80,24.6,58,0.9,31,0.95,78,2008
Northern Illinois,MAC,7-Jun,6.4 (0.4),40.70%,-1.6,69,23.3,76,25.5,65,0.6,43,0.972,112,2008
Kentucky,SEC,6-Jul,5.3 (-1.7),40.10%,-1.8,70,18.1,103,19.5,35,-0.4,72,0.9,41,2008
Vanderbilt,SEC,6-Jul,5.0 (-2.0),39.80%,-2,71,15.9,113,18.5,27,0.6,40,0.897,36,2008
New Mexico,MWC,8-Apr,5.4 (1.4),39.60%,-2,72,18.2,102,20.2,42,0,60,0.937,63,2008
Colorado,Big 12,7-May,4.0 (-1.0),37.90%,-2.7,73,23,78,23.2,53,-2.5,118,0.851,9,2008
UTEP,C-USA,7-May,4.2 (-0.8),37.80%,-2.7,74,33.8,26,38.8,113,2.3,5,0.934,59,2008
Iowa State,Big 12,10-Feb,2.9 (0.9),37.50%,-2.8,75,29.2,44,33.2,95,1.2,23,0.888,30,2008
Louisville,Big East,7-May,5.5 (0.5),37.00%,-3,76,24.6,70,25.3,62,-2.3,116,0.963,95,2008
Western Michigan,MAC,4-Sep,7.7 (-1.3),36.90%,-3.1,77,28,51,29.8,80,-1.3,104,0.962,90,2008
Colorado State,MWC,6-Jul,5.7 (-1.3),36.30%,-3.3,78,29.8,40,33.8,99,0.7,37,0.939,66,2008
Memphis,C-USA,7-Jun,6.7 (0.7),35.90%,-3.4,79,28.9,47,31.5,86,-0.8,85,0.97,108,2008
Navy,Ind,5-Aug,5.9 (-2.1),35.60%,-3.5,80,25.3,67,30.2,81,1.3,22,0.964,97,2008
Fresno State,WAC,7-Jun,7.6 (1.6),35.60%,-3.5,81,29.4,42,33.4,96,0.5,46,0.968,106,2008
Marshall,C-USA,8-Apr,5.6 (1.6),34.00%,-4.2,82,23.2,77,27.4,73,0,57,0.961,88,2008
Central Michigan,MAC,5-Aug,7.4 (-0.6),30.60%,-5.6,83,30.1,39,36.3,107,0.6,42,0.965,100,2008
Texas A&M,Big 12,8-Apr,2.4 (-1.6),30.50%,-5.6,84,27.4,54,33.1,94,0.2,51,0.85,8,2008
Duke,ACC,8-Apr,4.8 (0.8),28.00%,-6.7,85,17.8,104,24.9,59,0.4,47,0.947,74,2008
Akron,MAC,7-May,5.7 (0.7),27.90%,-6.7,86,29,46,34.7,103,-1,95,0.971,109,2008
Hawaii,WAC,7-Jul,7.3 (0.3),25.80%,-7.6,87,23.8,74,29.7,79,-1.7,108,0.926,53,2008
Indiana,Big Ten,9-Mar,3.8 (0.8),24.30%,-8.3,88,24.3,72,31.6,88,-1,93,0.9,37,2008
Florida Atlantic,Sun Belt,6-Jul,7.0 (0.0),24.00%,-8.5,89,25.5,66,33.6,97,-0.4,70,0.945,73,2008
Kent State,MAC,8-Apr,5.5 (1.5),23.90%,-8.5,90,27.6,53,34.6,101,-1.5,105,0.973,114,2008
Mississippi State,SEC,8-Apr,4.2 (0.2),23.20%,-8.8,91,16.5,110,22.5,51,-2.9,120,0.921,50,2008
Ohio,MAC,8-Apr,6.1 (2.1),22.10%,-9.3,92,21.6,87,29.7,78,-1.2,101,0.966,101,2008
Temple,MAC,7-May,5.5 (0.5),21.90%,-9.4,93,19,98,27.9,75,-0.5,79,0.957,83,2008
Arkansas State,Sun Belt,6-Jun,7.1 (1.1),21.90%,-9.5,94,22.8,82,32.3,90,0.1,54,0.967,105,2008
Louisiana Tech,WAC,5-Aug,6.7 (-1.3),21.40%,-9.7,95,20.2,92,29.6,77,-0.3,66,0.966,102,2008
UAB,C-USA,8-Apr,4.3 (0.3),20.20%,-10.3,96,24.5,71,35.4,106,0.6,44,0.967,104,2008
UL-Lafayette,Sun Belt,6-Jun,6.4 (0.4),18.70%,-11.1,97,29.3,43,39.9,115,-0.5,77,0.979,117,2008
Toledo,MAC,9-Mar,3.3 (0.3),18.10%,-11.4,98,22.6,83,33.1,93,-0.9,89,0.965,99,2008
UNLV,MWC,7-May,3.3 (-1.7),16.40%,-12.4,99,24.1,73,36.5,109,0,56,0.948,75,2008
San Jose State,WAC,6-Jun,4.2 (-1.8),15.20%,-13.2,100,12.9,116,25.4,63,-0.7,83,0.959,86,2008
Buffalo,MAC,6-Aug,5.0 (-3.0),13.30%,-14.4,101,26.4,62,39.7,114,-1.1,98,0.954,81,2008
Wyoming,MWC,8-Apr,3.8 (-0.2),13.00%,-14.5,102,12.1,118,24.5,57,-2.2,114,0.943,72,2008
Syracuse,Big East,9-Mar,3.0 (0.0),12.90%,-14.6,103,19.3,95,35.4,105,1.4,20,0.925,52,2008
Middle Tennessee,Sun Belt,7-May,4.6 (-0.4),12.30%,-15,104,17.2,107,31.6,87,-0.6,81,0.986,118,2008
Miami-OH,MAC,10-Feb,2.2 (0.2),11.30%,-15.8,105,16.1,111,33.8,98,1.9,12,0.972,113,2008
Central Florida,C-USA,8-Apr,3.1 (-0.9),11.20%,-15.8,106,7.3,120,22.3,50,-0.8,88,0.964,98,2008
Florida International,Sun Belt,7-May,5.6 (0.6),9.50%,-17.3,107,15,114,31.2,84,-1.1,97,0.95,77,2008
Tulane,C-USA,10-Feb,3.6 (1.6),9.30%,-17.4,108,19.8,93,34.7,102,-2.5,119,0.94,69,2008
Washington State,Pac-10,11-Feb,1.8 (-0.2),9.20%,-17.5,109,16,112,32.4,91,-1.1,100,0.873,19,2008
San Diego State,MWC,9-Mar,2.6 (-0.4),8.70%,-17.9,110,19.3,96,36.7,110,-0.5,76,0.949,76,2008
SMU,C-USA,11-Jan,3.2 (2.2),8.10%,-18.5,111,23,81,42.1,118,0.6,41,0.941,71,2008
Utah State,WAC,9-Mar,3.4 (0.4),7.70%,-18.9,112,17.3,106,37.2,112,1,27,0.937,62,2008
Army,Ind,9-Mar,3.7 (0.7),6.40%,-20.3,113,10.2,119,30.4,83,-0.1,61,0.987,119,2008
Washington,Pac-10,0-12,0.5 (0.5),5.60%,-21.3,114,17.4,105,36.3,108,-2.4,117,0.837,3,2008
New Mexico State,WAC,9-Mar,4.5 (1.5),5.20%,-21.7,115,17.1,108,36.9,111,-1.9,110,0.959,84,2008
Eastern Michigan,MAC,9-Mar,3.1 (0.1),5.10%,-22,116,21.3,88,41.2,117,-2.1,113,0.971,110,2008
Western Kentucky,Sun Belt,10-Feb,3.4 (1.4),5.00%,-22.1,117,12.8,117,34.2,100,-0.7,84,0.955,82,2008
UL-Monroe,Sun Belt,8-Apr,2.9 (-1.1),2.50%,-26.7,118,16.6,109,41.1,116,-2.2,115,0.974,116,2008
Idaho,WAC,10-Feb,2.4 (0.4),1.70%,-28.8,119,14.4,115,44,119,0.8,34,0.963,96,2008
North Texas,Sun Belt,11-Jan,0.5 (-0.5),1.20%,-30.9,120,18.9,100,48.9,120,-0.8,87,0.962,91,2008
USC,Pac-10,2-Nov,11.4 (0.4),97.60%,32,1,39,14,7.7,1,0.7,40,0.881,48,2007
Oklahoma,Big 12,3-Nov,10.8 (-0.2),97.10%,30.9,2,44.7,3,16.2,14,2.3,1,0.834,20,2007
Ohio State,Big Ten,2-Nov,11.8 (0.8),96.40%,29.2,3,37.8,20,9.5,2,1,30,0.874,47,2007
LSU,SEC,2-Dec,10.6 (-1.4),96.20%,28.9,4,41.9,7,14.1,7,1,28,0.807,11,2007
Florida,SEC,4-Sep,10.4 (1.4),96.20%,28.8,5,50.1,1,21.9,44,0.7,39,0.83,19,2007
West Virginia,Big East,2-Nov,11.2 (0.2),95.80%,28.2,6,41.7,8,14.4,8,0.9,32,0.869,45,2007
Texas,Big 12,3-Oct,9.2 (-0.8),94.20%,25.8,7,43.4,5,18.9,28,1.4,18,0.857,36,2007
Kansas,Big 12,1-Dec,11.2 (-0.8),93.60%,24.9,8,40.3,11,15.2,10,-0.2,67,0.9,60,2007
Texas Tech,Big 12,4-Sep,10.5 (1.5),93.60%,24.9,9,47,2,21.7,43,-0.4,75,0.868,44,2007
Georgia,SEC,2-Nov,9.0 (-2.0),92.40%,23.6,10,38.7,16,16.6,18,1.5,13,0.835,21,2007
Oregon,Pac-10,4-Sep,9.9 (0.9),92.00%,23.1,11,41.2,9,19.7,35,1.6,9,0.853,35,2007
Missouri,Big 12,2-Dec,10.9 (-1.1),90.20%,21.4,12,44,4,23,51,0.5,50,0.8,5,2007
Auburn,SEC,4-Sep,8.4 (-0.6),89.40%,20.7,13,31.3,44,11.3,4,0.7,41,0.807,10,2007
Penn State,Big Ten,4-Sep,9.9 (0.9),88.80%,20.2,14,35.5,27,16,12,0.7,38,0.888,50,2007
Tennessee,SEC,4-Oct,9.2 (-0.8),88.80%,20.2,15,38.4,17,19.3,33,1.1,26,0.814,14,2007
Virginia Tech,ACC,3-Nov,9.8 (-1.2),87.70%,19.3,16,27.5,65,10.4,3,2.2,3,0.857,37,2007
Arkansas,SEC,5-Aug,8.8 (0.8),85.90%,18,17,36.8,24,19,29,0.2,56,0.844,28,2007
Cincinnati,Big East,3-Oct,10.1 (0.1),85.10%,17.5,18,37.2,22,19.9,36,0.2,59,0.89,52,2007
Kansas State,Big 12,7-May,7.4 (2.4),85.10%,17.5,19,37.6,21,21.5,42,1.4,16,0.847,32,2007
Boston College,ACC,3-Nov,11.2 (0.2),83.80%,16.7,20,32,38,14.6,9,-0.8,89,0.899,59,2007
California,Pac-10,6-Jul,9.2 (2.2),83.70%,16.6,21,38.1,18,21.3,41,-0.2,65,0.848,33,2007
South Carolina,SEC,6-Jun,7.4 (1.4),83.00%,16.2,22,33.2,32,18.4,26,1.3,22,0.801,6,2007
Clemson,ACC,4-Sep,9.0 (0.0),83.00%,16.2,23,31.6,42,15.2,11,-0.2,66,0.889,51,2007
South Florida,Big East,4-Aug,9.3 (1.3),82.40%,15.8,24,33.1,33,16.5,15,-0.8,87,0.845,31,2007
BYU,MWC,2-Nov,10.9 (-0.1),81.70%,15.4,25,31.8,40,16,13,-0.4,74,0.935,90,2007
Rutgers,Big East,5-Aug,8.4 (0.4),79.70%,14.3,26,37,23,22.2,46,-0.6,81,0.893,55,2007
Kentucky,SEC,5-Aug,7.9 (-0.1),78.20%,13.4,27,38.8,15,24.9,56,-0.5,78,0.812,12,2007
Michigan,Big Ten,4-Sep,7.7 (-1.3),77.90%,13.3,28,32.5,36,18.1,24,-1.2,98,0.829,18,2007
Boise State,WAC,3-Oct,9.9 (-0.1),77.60%,13.1,29,36.2,25,24.4,55,1.3,23,0.968,117,2007
Oklahoma State,Big 12,6-Jul,6.4 (-0.6),77.50%,13.1,30,43.2,6,28.9,67,-1.2,99,0.8,4,2007
Alabama,SEC,6-Jul,6.9 (-0.1),77.00%,12.8,31,30.1,53,17.2,21,-0.1,64,0.845,30,2007
Illinois,Big Ten,4-Sep,8.7 (-0.3),76.80%,12.7,32,34.7,29,22.9,50,0.9,34,0.836,23,2007
Arizona State,Pac-10,3-Oct,7.5 (-2.5),76.50%,12.6,33,30.3,50,18.6,27,0.9,33,0.836,24,2007
Purdue,Big Ten,5-Aug,8.6 (0.6),76.30%,12.4,34,33.2,30,22.2,45,1.4,19,0.902,63,2007
Hawaii,WAC,1-Dec,11.5 (-0.5),76.10%,12.4,35,39,13,27,59,0.3,51,0.947,104,2007
Louisville,Big East,6-Jun,6.9 (0.9),75.60%,12.1,36,40.6,10,29.2,70,0.6,43,0.862,39,2007
Utah,MWC,4-Sep,8.7 (-0.3),75.20%,11.9,37,26.5,71,16.5,16,1.9,6,0.928,84,2007
Oregon State,Pac-10,4-Sep,8.1 (-0.9),74.60%,11.6,38,25.6,74,13.5,6,-0.5,77,0.836,25,2007
UCLA,Pac-10,7-Jun,6.4 (0.4),73.70%,11.2,39,23.1,86,13.4,5,1.5,15,0.829,17,2007
Wisconsin,Big Ten,4-Sep,7.9 (-1.1),71.90%,10.4,40,35.9,26,26.1,58,0.6,44,0.867,42,2007
Nebraska,Big 12,7-May,5.4 (0.4),71.10%,10,41,39.1,12,31.2,74,2.1,4,0.803,7,2007
Michigan State,Big Ten,6-Jul,7.7 (0.7),71.10%,10,42,32.1,37,22.5,48,0.3,52,0.866,40,2007
Florida State,ACC,6-Jul,7.0 (0.0),70.20%,9.6,43,25.9,73,17.5,22,1.2,25,0.858,38,2007
Georgia Tech,ACC,6-Jul,7.1 (0.1),68.20%,8.7,44,28.1,62,21.3,39,1.8,7,0.891,53,2007
Connecticut,Big East,4-Sep,7.2 (-1.8),67.80%,8.5,45,26.9,68,18.3,25,-0.1,62,0.882,49,2007
Texas A&M,Big 12,6-Jul,6.0 (-1.0),65.70%,7.6,46,35.4,28,28.1,65,0.3,53,0.792,2,2007
Pittsburgh,Big East,7-May,5.6 (0.6),65.50%,7.5,47,24.7,77,16.8,19,-0.4,72,0.868,43,2007
Virginia,ACC,4-Sep,7.2 (-1.8),65.40%,7.5,48,23.3,85,16.9,20,1,27,0.899,58,2007
Arizona,Pac-10,7-May,6.0 (1.0),64.90%,7.3,49,26.6,70,21.3,40,1.9,5,0.835,22,2007
Iowa,Big Ten,6-Jun,6.7 (0.7),63.10%,6.5,50,23.6,82,16.5,17,-0.6,80,0.919,77,2007
Wake Forest,ACC,4-Sep,7.8 (-1.2),62.80%,6.4,51,23.9,81,19,31,1.6,12,0.914,73,2007
TCU,MWC,5-Aug,8.5 (0.5),62.80%,6.4,52,24.4,78,19,30,1,29,0.923,82,2007
Maryland,ACC,7-Jun,6.3 (0.3),61.50%,5.9,53,28.5,60,22.8,49,0.2,58,0.867,41,2007
Air Force,MWC,4-Sep,8.9 (-0.1),61.00%,5.7,54,30.3,51,25.4,57,0.8,35,0.939,95,2007
Washington,Pac-10,9-Apr,4.8 (0.8),59.90%,5.2,55,33,34,28,63,0.2,57,0.805,9,2007
New Mexico,MWC,4-Sep,7.5 (-1.5),57.90%,4.4,56,22.5,89,19.4,34,1.4,17,0.946,103,2007
Colorado,Big 12,7-Jun,4.9 (-1.1),57.30%,4.2,57,29.1,56,23.9,54,-0.9,93,0.812,13,2007
Central Florida,C-USA,4-Oct,9.4 (-0.6),55.60%,3.5,58,30.5,49,28.5,66,1.5,14,0.936,93,2007
Miami-FL,ACC,7-May,5.9 (0.9),54.90%,3.2,59,25,76,19.9,37,-1.9,114,0.872,46,2007
Washington State,Pac-10,7-May,5.7 (0.7),54.70%,3.2,60,31.7,41,27.8,61,-0.8,84,0.843,27,2007
Vanderbilt,SEC,7-May,5.5 (0.5),53.00%,2.5,61,22.1,91,19,32,-0.5,79,0.826,16,2007
Mississippi State,SEC,5-Jul,5.7 (-1.3),51.70%,2,62,20.2,100,17.8,23,-0.4,73,0.815,15,2007
North Carolina,ACC,8-Apr,5.8 (1.8),51.30%,1.9,63,23.6,83,23.3,53,1.6,10,0.9,61,2007
Fresno State,WAC,4-Sep,8.4 (-0.6),51.30%,1.8,64,33.2,31,32,77,0.6,45,0.912,72,2007
Indiana,Big Ten,6-Jul,6.5 (-0.5),45.90%,-0.2,65,27.9,64,29.3,71,1.2,24,0.909,69,2007
Tulsa,C-USA,4-Oct,9.2 (-0.8),45.70%,-0.4,66,37.9,19,36.4,100,-1.9,115,0.933,88,2007
Southern Miss,C-USA,6-Jul,7.1 (0.1),45.40%,-0.5,67,26.9,69,28.1,64,0.8,36,0.935,92,2007
East Carolina,C-USA,5-Aug,7.0 (-1.0),44.70%,-0.7,68,29.6,55,29,68,-1.3,101,0.912,71,2007
NC State,ACC,7-Apr,4.5 (0.5),43.80%,-1.1,69,20.6,96,22.4,47,0.8,37,0.901,62,2007
Northwestern,Big Ten,6-Jun,5.5 (-0.5),40.60%,-2.4,70,30.1,54,31.7,75,-0.7,83,0.895,57,2007
Troy,Sun Belt,4-Aug,7.1 (-0.9),40.40%,-2.4,71,26.2,72,29.9,73,1.3,20,0.895,56,2007
Ole Miss,SEC,9-Mar,3.4 (0.4),39.80%,-2.7,72,28.1,63,29,69,-1.7,111,0.797,3,2007
Bowling Green,MAC,5-Aug,7.6 (-0.4),37.00%,-3.8,73,31.2,45,35.7,96,0.7,42,0.966,116,2007
Nevada,WAC,7-Jun,7.7 (1.7),36.00%,-4.2,74,31.5,43,35.3,94,-0.4,70,0.953,108,2007
Ball State,MAC,6-Jul,7.1 (0.1),35.00%,-4.6,75,29,57,33.6,82,0,61,0.957,112,2007
Houston,C-USA,5-Aug,7.1 (-0.9),34.70%,-4.7,76,30.9,47,34.2,86,-1.5,104,0.944,100,2007
Wyoming,MWC,7-May,6.0 (1.0),34.20%,-5,77,15.9,112,21,38,0.1,60,0.926,83,2007
Stanford,Pac-10,8-Apr,2.3 (-1.7),30.10%,-6.7,78,21,94,27.4,60,-0.3,69,0.843,26,2007
UTEP,C-USA,8-Apr,3.7 (-0.3),29.60%,-7,79,32,39,40.6,111,1.6,11,0.944,99,2007
Minnesota,Big Ten,11-Jan,2.7 (1.7),28.20%,-7.6,80,30.6,48,38.8,104,0.5,49,0.892,54,2007
Colorado State,MWC,9-Mar,3.9 (0.9),28.10%,-7.7,81,27.2,66,35.4,95,0.6,47,0.922,81,2007
Iowa State,Big 12,9-Mar,2.1 (-0.9),25.00%,-9.1,82,20.6,97,28,62,-1.7,110,0.788,1,2007
Marshall,C-USA,9-Mar,4.7 (1.7),25.00%,-9.1,83,31.1,46,39.4,106,-0.8,90,0.919,76,2007
Notre Dame,Ind,9-Mar,3.0 (0.0),23.90%,-9.7,84,15.1,115,23.3,52,-1.5,105,0.845,29,2007
Navy,Ind,5-Aug,6.1 (-1.9),23.60%,-9.8,85,32.6,35,41.6,117,-0.8,86,0.951,107,2007
Central Michigan,MAC,6-Aug,7.7 (-0.3),22.10%,-10.6,86,30.2,52,39.8,107,-1,96,0.931,85,2007
Ohio,MAC,6-May,6.3 (1.3),20.70%,-11.3,87,22.9,88,34.8,89,0.6,46,0.971,118,2007
Syracuse,Big East,10-Feb,1.9 (-0.1),20.10%,-11.7,88,22,92,33.6,83,-0.1,63,0.852,34,2007
Miami-OH,MAC,7-Jun,5.3 (-0.7),19.90%,-11.8,89,18.9,103,29.4,72,-1.3,102,0.964,115,2007
Western Michigan,MAC,7-May,5.7 (0.7),19.20%,-12.1,90,22.4,90,34.1,84,-0.5,76,0.921,78,2007
Kent State,MAC,9-Mar,4.8 (1.8),18.80%,-12.4,91,21.9,93,33.4,81,-0.9,91,0.939,97,2007
Florida Atlantic,Sun Belt,5-Aug,6.5 (-1.5),18.60%,-12.5,92,25.1,75,36.1,97,-1.5,106,0.917,75,2007
San Diego State,MWC,8-Apr,3.5 (-0.5),18.40%,-12.6,93,24.4,79,39.2,105,2.2,2,0.91,70,2007
Toledo,MAC,7-May,3.8 (-1.2),18.00%,-12.8,94,28.8,59,42.9,119,1.3,21,0.947,105,2007
Memphis,C-USA,6-Jul,5.1 (-1.9),18.00%,-12.9,95,27,67,38.3,103,-1.6,108,0.983,120,2007
SMU,C-USA,11-Jan,4.5 (3.5),17.10%,-13.4,96,28.9,58,43.2,120,0.9,31,0.944,101,2007
UNLV,MWC,10-Feb,3.0 (1.0),17.00%,-13.5,97,18.6,105,32.6,79,0.6,48,0.922,80,2007
Baylor,Big 12,9-Mar,2.7 (-0.3),16.80%,-13.6,98,23.5,84,34.5,87,-2.6,118,0.804,8,2007
Rice,C-USA,9-Mar,4.0 (1.0),15.50%,-14.4,99,28.3,61,41.4,115,-1.4,103,0.921,79,2007
Louisiana Tech,WAC,7-Apr,4.2 (0.2),14.90%,-14.8,100,18.4,106,32.4,78,-0.8,85,0.906,65,2007
Tulane,C-USA,8-Apr,5.2 (1.2),13.80%,-15.5,101,23,87,37.7,102,-0.8,88,0.945,102,2007
Arkansas State,Sun Belt,7-May,5.6 (0.6),13.30%,-15.9,102,19,102,33.2,80,-1.8,112,0.934,89,2007
San Jose State,WAC,7-May,4.6 (-0.4),13.20%,-16,103,20.3,99,34.7,88,-1.6,107,0.932,87,2007
Middle Tennessee,Sun Belt,7-May,4.5 (-0.5),13.10%,-16.1,104,20,101,35.1,91,-1,95,0.935,91,2007
Northern Illinois,MAC,10-Feb,3.9 (1.9),11.90%,-17,105,18.7,104,35.1,92,-0.6,82,0.976,119,2007
Akron,MAC,8-Apr,3.4 (-0.6),11.10%,-17.6,106,16.3,110,34.1,85,0.3,55,0.941,98,2007
New Mexico State,WAC,9-Mar,5.1 (2.1),9.90%,-18.7,107,24.2,80,40.4,110,-2.5,117,0.939,96,2007
Temple,MAC,8-Apr,4.4 (0.4),9.50%,-19,108,14.9,117,31.7,76,-2.2,116,0.961,113,2007
Buffalo,MAC,7-May,4.8 (-0.2),8.30%,-20.1,109,17.7,109,37.5,101,-0.3,68,0.953,109,2007
UL-Monroe,Sun Belt,6-Jun,4.6 (-1.4),7.50%,-21,110,16.3,111,36.2,98,-1.1,97,0.953,110,2007
UAB,C-USA,10-Feb,2.0 (0.0),6.90%,-21.7,111,17.8,108,41.2,114,1.7,8,0.956,111,2007
Duke,ACC,11-Jan,2.0 (1.0),6.60%,-22,112,15.7,113,34.8,90,-2.9,120,0.903,64,2007
UL-Lafayette,Sun Belt,9-Mar,4.1 (1.1),6.40%,-22.3,113,21,95,42.4,118,-0.9,92,0.948,106,2007
Western Kentucky,Ind,5-Jan,1.8 (0.8),6.20%,-22.5,114,15.6,114,36.3,99,-1.8,113,0.907,66,2007
North Texas,Sun Belt,10-Feb,4.5 (2.5),5.90%,-22.8,115,20.3,98,40.3,109,-2.9,119,0.931,86,2007
Eastern Michigan,MAC,8-Apr,3.1 (-0.9),4.60%,-24.8,116,18,107,41.5,116,-1.3,100,0.964,114,2007
Idaho,WAC,11-Jan,2.6 (1.6),4.20%,-25.5,117,15.1,116,41,113,0.3,54,0.915,74,2007
Utah State,WAC,10-Feb,1.2 (-0.8),3.10%,-27.6,118,13.3,118,40,108,-0.9,94,0.908,68,2007
Army,Ind,9-Mar,1.7 (-1.3),2.70%,-28.4,119,7.3,120,35.3,93,-0.4,71,0.937,94,2007
Florida International,Sun Belt,11-Jan,1.8 (0.8),1.40%,-32.9,120,9.6,119,40.9,112,-1.6,109,0.907,67,2007
LSU,SEC,2-Nov,11.6 (0.6),97.90%,31.6,1,39.2,4,6.8,2,-0.7,85,0.856,36,2006
USC,Pac-10,2-Nov,11.7 (0.7),97.40%,30.3,2,37.8,6,9.3,5,1.8,8,0.833,18,2006
Louisville,Big East,1-Dec,11.5 (-0.5),95.90%,27.3,3,41.3,2,14.4,20,0.5,44,0.874,55,2006
Ohio State,Big Ten,1-Dec,11.1 (-0.9),95.80%,27,4,37.2,10,12.1,10,1.9,4,0.855,33,2006
Florida,SEC,13-1,11.7 (-1.3),95.50%,26.5,5,36,11,8.4,3,-1.1,90,0.785,2,2006
West Virginia,Big East,2-Nov,10.7 (-0.3),94.70%,25.4,6,41.2,3,17.3,28,1.5,14,0.878,59,2006
Oklahoma,Big 12,3-Nov,10.3 (-0.7),93.20%,23.5,7,34.3,17,12.5,12,1.7,10,0.857,40,2006
Michigan,Big Ten,2-Nov,10.7 (-0.3),92.30%,22.6,8,32.3,25,9.9,6,0.2,54,0.839,22,2006
Texas,Big 12,3-Oct,8.2 (-1.8),91.60%,21.9,9,37.4,8,16.4,24,1,34,0.845,28,2006
BYU,MWC,2-Nov,11.4 (0.4),91.60%,21.9,10,37.5,7,16.6,26,1,32,0.919,84,2006
Virginia Tech,ACC,3-Oct,9.3 (-0.7),90.60%,21,11,23.6,64,4.6,1,2,3,0.884,63,2006
Arkansas,SEC,4-Oct,9.6 (-0.4),90.20%,20.6,12,34.4,16,13.1,15,-0.7,84,0.784,1,2006
Auburn,SEC,2-Nov,7.4 (-3.6),88.80%,19.4,13,32.4,24,15.1,22,2.1,1,0.811,7,2006
South Carolina,SEC,5-Jul,8.9 (1.9),88.40%,19.1,14,38,5,20.2,46,1.4,18,0.835,19,2006
Wisconsin,Big Ten,1-Dec,10.1 (-1.9),88.30%,19.1,15,28.9,37,11.2,7,1.3,21,0.899,69,2006
Tennessee,SEC,4-Sep,7.7 (-1.3),88.10%,18.9,16,35.9,12,18.3,33,1.3,23,0.794,5,2006
Boise State,WAC,13-0,11.0 (-2.0),87.70%,18.7,17,35.9,13,18.6,36,1.3,19,0.917,82,2006
Texas Tech,Big 12,5-Aug,8.6 (0.6),86.70%,17.9,18,37.2,9,19.9,44,0.5,42,0.864,44,2006
Georgia,SEC,4-Sep,8.4 (-0.6),86.50%,17.8,19,28.7,39,11.3,8,0.4,46,0.838,21,2006
California,Pac-10,3-Oct,9.9 (-0.1),86.30%,17.6,20,35.7,14,19.9,45,1.9,7,0.854,32,2006
TCU,MWC,2-Nov,10.0 (-1.0),85.70%,17.3,21,29.2,36,12.7,13,0.8,37,0.922,87,2006
Clemson,ACC,5-Aug,9.8 (1.8),84.90%,16.7,22,31.5,32,13.7,17,-1.1,92,0.883,62,2006
Rutgers,Big East,2-Nov,9.3 (-1.7),81.70%,14.8,23,27.9,41,14.1,19,1.1,30,0.874,54,2006
Boston College,ACC,3-Oct,8.8 (-1.2),81.60%,14.8,24,29.5,35,14.6,21,-0.1,62,0.877,58,2006
Nebraska,Big 12,5-Sep,9.2 (0.2),81.60%,14.7,25,31.5,31,17.7,30,0.9,35,0.828,13,2006
Pittsburgh,Big East,6-Jun,7.1 (1.1),81.00%,14.4,26,31.9,29,18.8,37,1.4,17,0.867,50,2006
Missouri,Big 12,5-Aug,8.8 (0.8),80.90%,14.4,27,32.1,26,18.2,32,0.4,47,0.881,60,2006
Miami-FL,ACC,6-Jul,8.1 (1.1),80.10%,13.9,28,23.6,63,9.3,4,-0.3,72,0.867,49,2006
Oklahoma State,Big 12,6-Jul,8.2 (1.2),79.60%,13.7,29,35.6,15,23.9,66,2,2,0.856,37,2006
Georgia Tech,ACC,5-Sep,9.8 (0.8),79.30%,13.5,30,26.2,47,13.2,16,0.5,43,0.858,41,2006
